Transaction_ID,Date,Product,Quantity,Unit_Price,Customer_Type,Store_Region,Category,Sales,Cost,Profit
1,2023-04-13,Cholesterol Med,5,106.7,Cash,South,Prescription,533.5,330.19,203.31
2,2023-12-15,Sleep Aid Tablets,4,21.45,Cash,North,Sleep Aid,85.8,53.36,32.44
3,2023-09-28,Sleep Aid Tablets,5,149.55,Insurance,East,Sleep Aid,747.75,494.85,252.89999999999998
4,2023-04-17,Allergy Relief,1,31.6,Cash,West,Allergy,31.6,19.56,12.040000000000003
5,2023-03-13,Cholesterol Med,5,91.15,Insurance,North,Prescription,455.75,327.37,128.38
6,2023-07-08,Blood Pressure Med,4,64.65,Insurance,West,Prescription,258.6,152.66,105.94000000000003
7,2023-01-21,Pain Relief Gel,3,23.33,Cash,West,Pain Relief,69.99,45.22,24.769999999999996
8,2023-04-13,Vitamin D3 1000IU,3,9.04,Cash,West,Vitamins,27.119999999999997,22.35,4.769999999999996
9,2023-05-02,Acetaminophen 500mg,5,95.3,Cash,North,Pain Relief,476.5,320.57,155.93
10,2023-08-03,Baby Aspirin,2,121.98,Cash,North,Pain Relief,243.96,188.94,55.02000000000001
11,2023-11-27,Acetaminophen 500mg,3,127.09,Cash,East,Pain Relief,381.27,222.68,158.58999999999997
12,2023-03-29,Nasal Spray,5,74.99,Insurance,West,Cold & Flu,374.95,234.07,140.88
13,2023-04-10,Sleep Aid Tablets,4,117.73,Cash,South,Sleep Aid,470.92,373.06,97.86000000000001
14,2023-12-26,Cough Syrup,5,102.56,Insurance,East,Cold & Flu,512.8,399.42,113.37999999999994
15,2023-06-01,Vitamin D3 1000IU,3,110.02,Cash,North,Vitamins,330.06,219.77,110.28999999999999
16,2023-05-11,Antihistamine,4,76.43,Cash,South,Allergy,305.72,255.68,50.04000000000002
17,2023-05-30,Pain Relief Gel,5,96.84,Cash,North,Pain Relief,484.20000000000005,398.59,85.61000000000007
18,2023-11-05,Ibuprofen 200mg,1,121.8,Insurance,South,Pain Relief,121.8,102.15,19.64999999999999
19,2023-09-15,Insulin Pen,4,62.69,Cash,East,Prescription,250.76,170.11,80.64999999999998
20,2023-12-10,Amoxicillin 500mg,1,121.87,Insurance,South,Prescription,121.87,74.25,47.620000000000005
21,2023-10-21,Allergy Relief,2,90.84,Insurance,East,Allergy,181.68,134.08,47.599999999999994
22,2023-07-11,Cough Syrup,4,29.06,Insurance,North,Cold & Flu,116.24,87.81,28.429999999999993
23,2023-10-04,Cough Syrup,1,8.58,Cash,South,Cold & Flu,8.58,5.04,3.54
24,2023-06-10,Blood Pressure Med,3,57.6,Insurance,West,Prescription,172.8,135.81,36.99000000000001
25,2023-11-10,Cough Syrup,3,84.27,Cash,West,Cold & Flu,252.81,140.42,112.39000000000001
26,2023-01-22,Ibuprofen 200mg,2,126.77,Insurance,North,Pain Relief,253.54,176.16,77.38
27,2023-09-10,Ibuprofen 200mg,4,23.49,Cash,South,Pain Relief,93.96,61.01,32.949999999999996
28,2023-08-24,Amoxicillin 500mg,4,121.03,Insurance,West,Prescription,484.12,373.78,110.34000000000003
29,2023-12-11,Baby Aspirin,4,130.14,Cash,East,Pain Relief,520.56,335.15,185.40999999999997
30,2023-02-18,Cholesterol Med,2,26.85,Cash,South,Prescription,53.7,42.85,10.850000000000001
31,2023-02-28,Antihistamine,4,128.48,Cash,South,Allergy,513.92,374.38,139.53999999999996
32,2023-06-19,Vitamin D3 1000IU,3,148.76,Insurance,West,Vitamins,446.28,351.74,94.53999999999996
33,2023-07-07,Cough Syrup,1,110.39,Insurance,East,Cold & Flu,110.39,93.48,16.909999999999997
34,2023-09-28,Acetaminophen 500mg,3,118.79,Cash,East,Pain Relief,356.37,268.61,87.75999999999999
35,2023-07-09,Antacid Tablets,3,149.19,Insurance,East,Digestive Health,447.57,378.41,69.15999999999997
36,2023-06-24,Blood Pressure Med,1,92.79,Insurance,South,Prescription,92.79,51.84,40.95
37,2023-02-20,Blood Pressure Med,3,49.64,Insurance,North,Prescription,148.92000000000002,97.01,51.91000000000001
38,2023-12-30,Baby Aspirin,2,126.44,Insurance,South,Pain Relief,252.88,147.27,105.60999999999999
39,2023-02-24,Acetaminophen 500mg,1,94.1,Insurance,South,Pain Relief,94.1,59.16,34.94
40,2023-09-01,Nasal Spray,3,89.27,Insurance,West,Cold & Flu,267.81,214.69,53.120000000000005
41,2023-11-16,Acetaminophen 500mg,5,41.78,Insurance,North,Pain Relief,208.9,116.92,91.98
42,2023-05-11,Pain Relief Gel,3,114.67,Cash,East,Pain Relief,344.01,242.89,101.12
43,2023-11-03,Nasal Spray,2,16.84,Cash,West,Cold & Flu,33.68,24.25,9.43
44,2023-05-15,Insulin Pen,4,139.02,Insurance,South,Prescription,556.08,399.46,156.62000000000006
45,2023-01-21,Sleep Aid Tablets,3,52.24,Cash,North,Sleep Aid,156.72,108.54,48.17999999999999
46,2023-11-25,Antacid Tablets,4,23.53,Cash,East,Digestive Health,94.12,74.09,20.03
47,2023-06-16,Sleep Aid Tablets,5,69.14,Cash,East,Sleep Aid,345.7,203.98,141.72
48,2023-10-01,Blood Pressure Med,3,11.16,Insurance,South,Prescription,33.480000000000004,21.53,11.950000000000003
49,2023-03-30,Acetaminophen 500mg,1,104.27,Insurance,East,Pain Relief,104.27,76.61,27.659999999999997
50,2023-11-12,Insulin Pen,4,135.89,Insurance,East,Prescription,543.56,411.63,131.92999999999995
51,2023-01-14,Cholesterol Med,5,126.4,Insurance,North,Prescription,632.0,424.23,207.76999999999998
52,2023-08-30,Allergy Relief,1,23.47,Insurance,West,Allergy,23.47,19.07,4.399999999999999
53,2023-09-22,Vitamin D3 1000IU,1,23.31,Cash,North,Vitamins,23.31,15.73,7.579999999999998
54,2023-12-12,Insulin Pen,1,122.95,Insurance,West,Prescription,122.95,82.48,40.47
55,2023-02-22,Baby Aspirin,1,139.02,Cash,West,Pain Relief,139.02,77.97,61.05000000000001
56,2023-12-06,Pain Relief Gel,3,71.8,Insurance,West,Pain Relief,215.39999999999998,154.08,61.319999999999965
57,2023-04-02,Vitamin D3 1000IU,3,77.35,Cash,East,Vitamins,232.04999999999998,176.96,55.089999999999975
